,Compound,Negative,Neutral,Positive,Text,Time of Tweet,Tweet Count,Tweets Ago,User
0,0.0,1.0,0.0,0.0,RT @TomLondon6: Why does @BBC give more airtime to Julia Hartley-Brewer @JuliaHB1 than to the entire 13.5 million people in the UK living i…,Sun Sep 16 02:10:15 +0000 2018,1,1,@BBC
1,-0.1806,0.8365,0.0985,0.065,"@BBC @HoneyBadgerBite Thanks for retweeting.
Unimaginably evil, I can't imagine the trauma... The only upside is th… https://t.co/UIgN517SG9",Sun Sep 16 02:10:11 +0000 2018,2,2,@BBC
2,-0.11180000000000001,0.8113333333333334,0.10466666666666667,0.084,RT @judithnwana: #Cameroon: Student police officers to reinforce security ahead of Presidential election as #SouthernCameroons conflict esc…,Sun Sep 16 02:09:19 +0000 2018,3,3,@BBC
3,0.016624999999999987,0.797,0.09825,0.10475000000000001,RT @georgegalloway: Dear @BBC In 2002 #JohnMalkovich  stated he would like to shoot me and Robert Fisk. At the time I was an MP and Mr Fisk…,Sun Sep 16 02:09:15 +0000 2018,4,4,@BBC
4,0.013299999999999989,0.8376000000000001,0.0786,0.08380000000000001,@BBC @bbcthree More money for @bbcthree!,Sun Sep 16 02:09:10 +0000 2018,5,5,@BBC
5,0.002483333333333325,0.8203333333333335,0.08816666666666667,0.09133333333333334,RT @Secominfo: Colonial Dogvernor tries to persuade fleeing Ambazonians to stay in a war zone and be massacred by his trigger happy boy's s…,Sun Sep 16 02:07:41 +0000 2018,6,6,@BBC
6,0.059542857142857133,0.8108571428571428,0.08685714285714285,0.10214285714285716,RT @georgegalloway: Dear @BBC In 2002 #JohnMalkovich  stated he would like to shoot me and Robert Fisk. At the time I was an MP and Mr Fisk…,Sun Sep 16 02:07:32 +0000 2018,7,7,@BBC
7,0.1023375,0.80375,0.085875,0.11025000000000001,RT @georgegalloway: Dear @BBC In 2002 #JohnMalkovich  stated he would like to shoot me and Robert Fisk. At the time I was an MP and Mr Fisk…,Sun Sep 16 02:06:44 +0000 2018,8,8,@BBC
8,0.17737777777777777,0.737111111111111,0.07633333333333334,0.18644444444444447,"@Darksonic22 @BBC Agree, agree, agree!",Sun Sep 16 02:06:44 +0000 2018,9,9,@BBC
9,0.21958000000000003,0.7483,0.06870000000000001,0.1829,"RT @marvelous_lie: @BBC @GyakutennoMeg And yet, Feminists will champion this exact same kind of woman while the MSM will be complicit in it…",Sun Sep 16 02:05:18 +0000 2018,10,10,@BBC
10,0.16490909090909092,0.7451818181818181,0.08009090909090909,0.17454545454545456,"@BBC Please note my emails, social media, computer and mobile are hacked. No information was sent to ‘Have your say… https://t.co/QRYzQ3iJmi",Sun Sep 16 02:04:48 +0000 2018,11,11,@BBC
11,0.12465000000000002,0.7581666666666665,0.08166666666666667,0.16,RT @SameerJainleo: Why the govt is desperate to represent father's as absurd memeber in india. They are breaking the institution of marriag…,Sun Sep 16 02:04:39 +0000 2018,12,12,@BBC
12,0.11506153846153848,0.7767692307692307,0.07538461538461538,0.1476923076923077,"RT @rsdass1819: #हरियाणा_में_आतंक हरियाणा में हाहाकार कहां सोई हुई है सरकार कितना हो रहा है अत्याचार
@rashtrapatibhvn 
@PMOIndia 
@BBC 
@aa…",Sun Sep 16 02:03:11 +0000 2018,13,13,@BBC
13,0.10684285714285716,0.7927142857142856,0.06999999999999999,0.13714285714285715,"RT @AlokKum22017698: माननीय मुख्यमंत्री जी/प्रधानमंत्री जी!
     आपने अपने संकल्प पत्र में कहा था कि हम शिक्षामित्रों की समस्या का समाधान…",Sun Sep 16 02:02:08 +0000 2018,14,14,@BBC
14,0.07998666666666668,0.7996,0.07226666666666667,0.128,lutávio é melhor do que vários casais por ai que vivem no queerbaiting e só serviram pra iludir a audiência viu @bbc https://t.co/KNLP209khv,Sun Sep 16 02:00:32 +0000 2018,15,15,@BBC
15,0.07498750000000001,0.812125,0.06775,0.12,@ProfFrancesca @BBC So right. Two preachers turned up this week claiming to preach from ‘Genesis to Revelation’. It… https://t.co/gWHqRrh64G,Sun Sep 16 01:59:56 +0000 2018,16,16,@BBC
16,0.09421764705882353,0.8087058823529412,0.06841176470588235,0.12276470588235293,RT @georgegalloway: Dear @BBC In 2002 #JohnMalkovich  stated he would like to shoot me and Robert Fisk. At the time I was an MP and Mr Fisk…,Sun Sep 16 01:59:54 +0000 2018,17,17,@BBC
17,0.06777222222222223,0.7903888888888888,0.08294444444444445,0.12655555555555553,@BBC Crying shame what happened to @bbcthree. A fantastic platform for never-been-tested-talent. #bbcthree,Sun Sep 16 01:59:20 +0000 2018,18,18,@BBC
18,0.0709421052631579,0.7828947368421052,0.08647368421052631,0.1304736842105263,"RT @n454h_: @realDonaldTrump You have special agreement with them and you are killing your citizents for your boss. 
Storm and others just…",Sun Sep 16 01:59:02 +0000 2018,19,19,@BBC
19,0.06739500000000001,0.79375,0.08215,0.12394999999999998,RT @StockMonsterUSA: Watch out @BBC. Pompeo's gonna tear you a new one https://t.co/tXShjMTpkI,Sun Sep 16 01:58:12 +0000 2018,20,20,@BBC
20,0.06418571428571429,0.8035714285714286,0.07823809523809525,0.11804761904761903,RT @TomLondon6: Why does @BBC give more airtime to Julia Hartley-Brewer @JuliaHB1 than to the entire 13.5 million people in the UK living i…,Sun Sep 16 02:10:15 +0000 2018,21,21,@BBC
21,0.04485000000000001,0.7976363636363637,0.08363636363636363,0.11859090909090907,"@BBC @HoneyBadgerBite Thanks for retweeting.
Unimaginably evil, I can't imagine the trauma... The only upside is th… https://t.co/UIgN517SG9",Sun Sep 16 02:10:11 +0000 2018,22,22,@BBC
22,0.04402173913043479,0.7960434782608696,0.08508695652173913,0.11873913043478258,RT @judithnwana: #Cameroon: Student police officers to reinforce security ahead of Presidential election as #SouthernCameroons conflict esc…,Sun Sep 16 02:09:19 +0000 2018,23,23,@BBC
23,0.05893333333333334,0.7942916666666667,0.08483333333333333,0.12075000000000001,RT @georgegalloway: Dear @BBC In 2002 #JohnMalkovich  stated he would like to shoot me and Robert Fisk. At the time I was an MP and Mr Fisk…,Sun Sep 16 02:09:15 +0000 2018,24,24,@BBC
24,0.056576,0.8025200000000001,0.08144,0.11592000000000001,@BBC @bbcthree More money for @bbcthree!,Sun Sep 16 02:09:10 +0000 2018,25,25,@BBC
25,0.052415384615384614,0.7998846153846155,0.08353846153846155,0.11642307692307693,RT @Secominfo: Colonial Dogvernor tries to persuade fleeing Ambazonians to stay in a war zone and be massacred by his trigger happy boy's s…,Sun Sep 16 02:07:41 +0000 2018,26,26,@BBC
26,0.06535925925925926,0.7981851851851854,0.08337037037037039,0.11829629629629629,RT @georgegalloway: Dear @BBC In 2002 #JohnMalkovich  stated he would like to shoot me and Robert Fisk. At the time I was an MP and Mr Fisk…,Sun Sep 16 02:07:32 +0000 2018,27,27,@BBC
27,0.07737857142857142,0.7966071428571431,0.08321428571428573,0.12003571428571427,RT @georgegalloway: Dear @BBC In 2002 #JohnMalkovich  stated he would like to shoot me and Robert Fisk. At the time I was an MP and Mr Fisk…,Sun Sep 16 02:06:44 +0000 2018,28,28,@BBC
28,0.10152758620689654,0.7761724137931038,0.08034482758620691,0.1433448275862069,"@Darksonic22 @BBC Agree, agree, agree!",Sun Sep 16 02:06:44 +0000 2018,29,29,@BBC
29,0.11812333333333333,0.7786000000000003,0.07766666666666669,0.1436,"RT @marvelous_lie: @BBC @GyakutennoMeg And yet, Feminists will champion this exact same kind of woman while the MSM will be complicit in it…",Sun Sep 16 02:05:18 +0000 2018,30,30,@BBC
30,0.10199677419354838,0.7765161290322583,0.0814193548387097,0.14190322580645162,"@BBC Please note my emails, social media, computer and mobile are hacked. No information was sent to ‘Have your say… https://t.co/QRYzQ3iJmi",Sun Sep 16 02:04:48 +0000 2018,31,31,@BBC
31,0.088865625,0.78040625,0.08196875,0.13746875,RT @SameerJainleo: Why the govt is desperate to represent father's as absurd memeber in india. They are breaking the institution of marriag…,Sun Sep 16 02:04:39 +0000 2018,32,32,@BBC
32,0.08617272727272728,0.787060606060606,0.07948484848484849,0.1333030303030303,"RT @rsdass1819: #हरियाणा_में_आतंक हरियाणा में हाहाकार कहां सोई हुई है सरकार कितना हो रहा है अत्याचार
@rashtrapatibhvn 
@PMOIndia 
@BBC 
@aa…",Sun Sep 16 02:03:11 +0000 2018,33,33,@BBC
33,0.08363823529411765,0.7933235294117646,0.07714705882352942,0.12938235294117648,"RT @AlokKum22017698: माननीय मुख्यमंत्री जी/प्रधानमंत्री जी!
     आपने अपने संकल्प पत्र में कहा था कि हम शिक्षामित्रों की समस्या का समाधान…",Sun Sep 16 02:02:08 +0000 2018,34,34,@BBC
34,0.07279142857142858,0.7962571428571429,0.07791428571428573,0.1256857142857143,lutávio é melhor do que vários casais por ai que vivem no queerbaiting e só serviram pra iludir a audiência viu @bbc https://t.co/KNLP209khv,Sun Sep 16 02:00:32 +0000 2018,35,35,@BBC
35,0.07076944444444445,0.8019166666666666,0.07575000000000001,0.12219444444444444,@ProfFrancesca @BBC So right. Two preachers turned up this week claiming to preach from ‘Genesis to Revelation’. It… https://t.co/gWHqRrh64G,Sun Sep 16 01:59:56 +0000 2018,36,36,@BBC
36,0.07971891891891893,0.8006216216216216,0.07583783783783785,0.1234054054054054,RT @georgegalloway: Dear @BBC In 2002 #JohnMalkovich  stated he would like to shoot me and Robert Fisk. At the time I was an MP and Mr Fisk…,Sun Sep 16 01:59:54 +0000 2018,37,37,@BBC
